clave,region,ul_x,ul_y,lr_x,lr_y
local,Local,-125.1697144623431,34.7764858397748,-78.9198172751900,6.2881770758456
mexico,Mexico,-121.3325136900594,32.9450945620932,-83.9198061602870,9.8346808199271
a1,SEMAR A1,-129.7917972107765,38.3811289894959,-50.1989508886991,0.7940032428025
a2,SEMAR A2,-126.7976178202817,38.2939198810346,-78.4256323272443,9.6021231973635
a3,SEMAR A3,-120.8092590392929,34.9799737595178,-98.8616334099402,18.4974522603875
a4,SEMAR A4,-109.5883537506435,23.5265108483045,-78.9779566808305,8.5265441930121
a5,SEMAR A5,-99.1523304381429,33.9043947551642,-74.12331630983486,14.25327564861727
a6,SEMAR A6,-100.1188888,22.0,-97.9886111,18.00
caribe,Caribe,-93.0476928458730,28.0613844882756,-56.01289145276628,5.12538896303195
atlantic,Atlantic,-125.0,45.0,-14.0,5.0
ejevolcanico,Eje Neovolcanico Transversal,-106.8133292,22.4665102,-94.2550041,15.1901564
centromex,Centro de México,-107.23, 22.72, -93.84, 14.94
ash,Articulo ceniza,-102.418,22.474,-96.294,17.547
